Timestamp,DayInWeek,DayType,DurationSeconds_Source1,DistanceMeters_Source1,SpeedKmPerHour_Source1,SegmentCode,index,name,updateTime,id,Length_Source2,Time_Source2,HistoricTime_Source2,SpeedKmPerHour_Source2,HistoricSpeedKmPerHour_Source2
2024-02-13 00:00:00,יום ג,יום חול,43,230,19.2558136,19,9001,19_KATZIR--EMEKHAELA2MENDES-L,2024-02-13 00:00:00,1694270516874.0,225.0,26.666666666666668,26.666666666666668,30.375,30.375
2024-02-13 00:00:00,יום ג,יום חול,65,249,13.79076958,20,10797,20_KATZIR--HOSPITAL2EMEKHAELA-R,2024-02-13 00:00:00,1694271563866.0,252.0,62.4,62.4,14.538461538461538,14.538461538461538
2024-02-13 00:00:00,יום ג,יום חול,55,420,27.49090958,21,11695,21_SHIBA--HAARAZIM2GABRIELA-T,2024-02-13 00:00:00,1694272032473.0,408.0,39.0,39.0,37.66153846153846,37.66153846153846
2024-02-13 00:00:00,יום ג,יום חול,88,630,25.77272797,22,12593,22_EMEKHAELA--GABRIELS2KATZIR-L,2024-02-13 00:00:00,1694271238156.0,629.0,86.6,86.6,26.14780600461894,26.14780600461894
2024-02-13 00:00:00,יום ג,יום חול,36,408,40.79999924,23,13491,23_BENGURION--HANASI2MENDES-R,2024-02-13 00:00:00,1694269759865.0,416.0,46.46666666666667,52.6,32.22955523672884,28.47148288973384
2024-02-13 00:00:00,יום ג,יום חול,71,331,16.78309822,24,14389,24_KATZIR--YAAKOV2MENDES-R,2024-02-13 00:00:00,1694270892493.0,331.0,72.53333333333333,72.53333333333333,16.428308823529413,16.428308823529413
2024-02-13 00:00:00,יום ג,יום חול,84,642,27.51428604,13,3613,13_MENDES--KATZIR2SHIBA-R,2024-02-13 00:00:00,1694272268271.0,652.0,66.0,66.0,35.56363636363636,35.56363636363636
2024-02-13 00:00:00,יום ג,יום חול,92,640,25.04347801,14,4511,14_MENDES--KATZIR2SHIBA-L,2024-02-13 00:00:00,1694272101417.0,662.0,74.0,74.0,32.20540540540541,32.20540540540541
2024-02-13 00:00:00,יום ג,יום חול,19,235,44.5263176,15,5409,15_BENGURION--SHLOMO2MENDES-R,2024-02-13 00:00:00,1694269535039.0,236.0,19.0,19.0,44.71578947368421,44.71578947368421
2024-02-13 00:00:00,יום ג,יום חול,44,290,23.72727203,16,6307,16_BENGURION--SHLOMO2MENDES-L,2024-02-13 00:00:00,1694269481983.0,289.0,62.86666666666667,62.86666666666667,16.54931071049841,16.54931071049841
2024-02-13 00:00:00,יום ג,יום חול,35,186,19.13142776,17,7205,17_KATZIR--EMEKHAELA2MENDES-T,2024-02-13 00:00:00,1694270365195.0,186.0,25.73333333333333,25.73333333333333,26.02072538860104,26.02072538860104
2024-02-13 00:00:00,יום ג,יום חול,38,177,16.76842117,18,8103,18_KATZIR--MENDES2EMEKHAELA-T,2024-02-13 00:00:00,1694271436635.0,179.0,31.73333333333333,31.73333333333333,20.306722689075627,20.306722689075627
2024-02-13 00:00:00,יום ג,יום חול,65,300,16.61538506,25,15287,25_KATZIR--YAAKOV2MENDES-T,2024-02-13 00:00:00,1694270650456.0,298.0,82.53333333333333,82.53333333333333,12.998384491114702,12.998384491114702
2024-02-13 00:00:00,יום ג,יום חול,83,626,27.15180779,26,16185,26_EMEKHAELA--GABRIELS2KATZIR-T,2024-02-13 00:00:00,1694271080537.0,622.0,84.0,84.0,26.65714285714286,26.65714285714286
2024-02-13 00:15:00,יום ג,יום חול,101,667,23.77425766,1,9900,1_MENDES--KATZIR2SHIBA-T,2024-02-13 00:15:00,1694272171574.0,666.0,108.26666666666668,108.26666666666668,22.14532019704433,22.14532019704433
